Details.Headquarters Regions.Other,Details.Headquarters Regions.New England,Details.Headquarters Regions.Greater New York Area,Details.Headquarters Regions.Midwestern US,Details.Headquarters Regions.Great Lakes,,Sector.Health Care,Sector.Financials,Sector.Information Technology,Sector.Real Estate,Sector.Communication Services,Sector.Industrials,Sector.Energy,Sector.Consumer Discretionary,Sector.Consumer Staples,Sector.Materials,Sector.Other,Overview.Number of Founded Organizations,Overview.Gender.Agender,Overview.Gender.Female,Overview.Gender.Male,Overview.Gender.Non-Binary,Overview.Gender.Other,Overview.Gender.Prefer not to identify,Overview.Regions.Midwestern US,Overview.Regions.Greater New York Area,Overview.Regions.Other,Overview.Regions.Northeastern US,Overview.Regions.New England,Overview.Regions.Southern US,Overview.Regions.Great Lakes,Overview.Regions.East Coast,Overview.Regions.West Coast,Overview.Regions.Western US,Education.0.Prestigious University,Education.1.Prestigious University,Education.MBA,Education.Bachelors,Education.Masters,Education.PhD,Education.Other,Major.Engineering,Major.Business,Major.Physical/Life Science,Major.Social Science,Major.Mathematics,Major.Law,Major.Art,Major.Other,Target,Details.Years Since Founded
1,0,0,0,0,0,,,1,,,1,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,1,1,0,1,,,,,,,,,1,1,1,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,7
0,0,0,0,0,NO HEAD,,,1,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,1,0,0,0,0,,,,,,1,,,,,1,1.333333333,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,4
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,8
0,0,1,0,0,0,,1,1,,,,,,,,1,2,0,1,3,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1.5,0,0,2,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,1,2,0,6
0,0,0,0,0,NO HEAD,,,1,,,,,,,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,,,1,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,21
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,11
0,0,0,0,0,NO HEAD,1,,,,,1,,,,,,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,3
1,0,0,0,0,0,,,,,,1,1,,,,,1,0,3,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,3,0,111
0,1,0,0,0,0,,,,,,1,1,,,,1,5,0,1,8,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,4,1,0,0,3,0,1,0,0,0,0,2,1,19
0,0,0,1,1,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,20
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,1,0,0,1,0,0,0,0,2,1,24
0,0,0,0,0,NO HEAD,,,1,,,,,,,,,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
0,0,0,0,1,0,1,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
